Date,RELIANCE.NS,INFY.NS,TCS.NS,HDFCBANK.NS,SUNPHARMA.NS,AXISBANK.NS,HINDUNILVR.NS
23-10-2020,958.1229248,988.1595459,2357.417725,585.2598267,457.1509094,505.0910645,1958.815918
26-10-2020,920.057373,979.312439,2358.64624,573.4674683,447.7154541,491.298645,1979.73938
27-10-2020,922.5059814,960.2974243,2307.712891,583.9810791,443.894043,505.9873352,1988.830566
28-10-2020,912.0543213,947.7089233,2300.737305,572.8518066,437.2419434,502.6014404,1990.3479
29-10-2020,919.0597534,946.2123413,2309.90625,562.2434082,430.5899963,491.7966003,1951.494751
30-10-2020,931.5745239,933.6676636,2338.158691,560.5149536,439.4593811,490.452179,1904.778809
02-11-2020,851.2944946,943.9674072,2285.295166,575.5275269,442.9033203,520.4768066,1905.422485
03-11-2020,839.0292358,935.3842773,2310.73999,591.013855,458.1888428,531.9290161,1890.432739
04-11-2020,867.5046387,963.0263672,2327.893311,595.4893188,476.1635437,522.9664307,1894.433228
05-11-2020,886.4581299,971.8736572,2356.452637,601.0776367,483.5704346,537.0575562,1933.332764
06-11-2020,920.0800171,979.576355,2375.535889,619.2871094,480.4094543,539.4973755,1925.791504
09-11-2020,929.8514404,1000.528076,2392.338867,634.868103,481.3530579,562.7005005,1961.104736
10-11-2020,945.2000732,960.4735718,2324.778809,660.015686,463.1897278,581.1733398,1964.828857
11-11-2020,905.5928345,988.1595459,2358.295166,658.2633667,477.4845276,606.1192627,1959.817017
12-11-2020,897.7938232,983.9780273,2343.598389,649.6204224,480.5039063,597.2064819,2015.867188
13-11-2020,905.2301025,989.6560059,2331.139893,643.5111694,479.749054,607.8120728,2009.659302
14-11-2020,907.9053955,997.7989502,2342.984131,648.6733398,484.9857483,610.6005859,2011.820679
17-11-2020,903.8017578,989.2157593,2339.211426,667.0247192,489.1374207,626.1854248,2002.532837
18-11-2020,901.0585327,977.6396484,2304.641846,667.1431885,484.0421753,633.6541748,1960.69104
19-11-2020,894.6879272,965.491333,2313.635498,650.8754272,478.7111511,608.9573975,1959.449341
20-11-2020,861.2927246,971.3013916,2334.122559,664.7515259,474.8425903,605.3225098,1949.793457
23-11-2020,884.5083618,1003.433044,2390.276855,660.4655151,483.9006348,593.1234741,1958.207642
24-11-2020,890.5616455,1003.60907,2388.346436,681.1139526,490.7886353,617.0735474,1983.910889
25-11-2020,883.1933594,982.1293945,2370.139648,664.348938,477.6259766,597.3557739,1964.139404
26-11-2020,885.3699341,979.9723511,2387.074219,675.644043,482.8155823,610.0030518,1981.013794
27-11-2020,875.0316162,968.352356,2351.144287,682.3689575,482.7683716,599.0985107,1966.300537
01-12-2020,886.4127808,1001.672363,2392.514404,678.793396,508.9047241,601.1400757,1961.564575
02-12-2020,887.8864136,1004.357361,2412.475098,666.3143311,513.9057007,605.5715332,1967.311646
03-12-2020,890.5616455,991.6367188,2377.29126,652.2250977,517.3023682,600.1940308,1956.690308
04-12-2020,882.7173462,998.8554077,2393.172363,656.2032471,536.9282837,611.9448853,2008.602173
07-12-2020,887.9090576,1006.64624,2402.077881,649.8809204,549.4304199,616.6751709,2074.76709
08-12-2020,904.0285645,1015.317444,2454.371094,651.7989502,536.5980835,618.069397,2078.307861
09-12-2020,919.0825195,1034.552368,2466.216064,666.4328003,537.4000244,631.5630493,2107.919922
10-12-2020,910.036499,1027.994141,2442.964844,656.3216553,533.2957153,624.442688,2161.487061
11-12-2020,909.4924927,1023.988403,2442.351074,654.8772583,536.0319214,610.7001343,2183.833008
14-12-2020,902.9177246,1025.177002,2454.721924,649.8335571,543.7218628,613.3391113,2180.154541
15-12-2020,895.2320557,1016.417969,2423.004395,658.90271,539.3815918,604.5756226,2133.530273
16-12-2020,896.2295532,1026.189209,2469.199463,668.0903931,544.052063,603.579834,2155.509033
17-12-2020,900.3331299,1020.467224,2490.25708,682.8188477,539.0984497,602.8827515,2129.162598
18-12-2020,903.0310059,1047.405151,2510.261719,668.3982544,542.5424194,606.9656372,2145.853027
21-12-2020,879.5205688,1036.401001,2474.419922,650.0703735,521.3596191,580.0779419,2120.564453
22-12-2020,878.1603394,1074.430908,2520.352783,650.2833862,536.2206421,587.2978516,2125.208008
23-12-2020,881.4024048,1103.085205,2552.158447,651.4912109,542.164917,589.9866333,2179.786865
24-12-2020,904.210083,1088.120117,2552.685059,661.6494751,557.1203613,607.6627808,2209.122314
28-12-2020,908.3588257,1091.861206,2570.276367,669.1085205,553.8178711,615.0819092,2196.845459
29-12-2020,902.3508911,1100.664551,2571.241455,675.904541,557.2617188,627.5796509,2192.615479
30-12-2020,904.8220215,1097.583496,2552.641357,678.4145508,551.0343018,622.5007935,2213.122314
31-12-2020,900.1970825,1105.506348,2511.797852,680.2142334,558.9129639,617.8701782,2202.822754
01-01-2021,901.1946411,1109.599854,2569.268066,674.8864136,562.5928345,621.2062378,2195.60376
04-01-2021,902.713623,1134.07251,2666.836426,670.6004028,570.2828369,622.102478,2231.422607
05-01-2021,891.4912109,1138.958618,2713.820313,675.6676636,569.3864746,661.6872559,2253.539307
06-01-2021,867.9807739,1128.658813,2677.408447,672.755188,571.1320801,651.5296631,2222.962646
07-01-2021,866.5751343,1111.096191,2661.000732,670.71875,567.9240112,668.3095703,2178.407227
08-01-2021,876.8000488,1155.068115,2738.300049,678.0119629,585.7571411,669.9029541,2198.960449
11-01-2021,860.2724609,1211.496704,2787.040039,687.3889771,585.9458008,664.1768188,2233.813477
12-01-2021,887.3876953,1207.579468,2785.636963,701.3835449,575.2363892,672.8904419,2184.890137
13-01-2021,879.1125488,1221.136108,2771.685547,696.4818726,568.3014526,684.9401245,2181.625977
14-01-2021,888.9973755,1206.479004,2857.615479,695.5820313,572.7833252,673.189209,2205.719482
15-01-2021,878.5004272,1183.986816,2842.363525,694.5875854,570.1884766,672.0438843,2162.130127
18-01-2021,899.585022,1155.024292,2832.165771,702.3779907,548.6283569,654.2681885,2145.072021
19-01-2021,914.2988281,1159.073608,2866.40625,712.2049561,562.8757935,665.9693604,2173.165527
20-01-2021,931.6652222,1179.14502,2908.690186,706.5930176,561.1303711,672.9401855,2166.544189
21-01-2021,951.9335327,1179.365234,2877.966553,698.4473877,549.996521,673.0397949,2177.303711
22-01-2021,929.3527222,1180.377441,2903.679443,683.6477051,542.7310791,641.8201294,2215.651611
25-01-2021,880.1101074,1166.512329,2893.306885,692.7878418,553.2990112,655.6623535,2206.685303
27-01-2021,859.2522583,1145.296509,2866.713867,667.569397,537.6359253,629.4717407,2199.052246
28-01-2021,850.8864136,1123.4646,2810.013672,649.5019531,532.4935303,667.9113159,2115.460205
29-01-2021,835.1978149,1090.760986,2735.116211,658.5238647,553.1102295,660.1436768,2081.894775
01-02-2021,859.3883057,1109.995728,2759.730225,699.3708496,556.8372803,706.4005127,2067.824951
02-02-2021,873.2179565,1119.107178,2816.078857,739.0574951,575.0477905,711.2303467,2051.133301
03-02-2021,875.4171143,1130.903442,2813.090576,745.8061523,593.6829834,730.7488403,2053.341064
04-02-2021,872.5377808,1126.237549,2802.893799,747.8424683,595.8530884,740.8068848,2065.066162
05-02-2021,872.2883301,1119.855347,2776.081299,756.6038818,598.9197388,716.6079102,2087.090576
08-02-2021,884.8485107,1147.541626,2825.441162,760.2269287,598.8253174,733.0891113,2056.835449
09-02-2021,886.9796143,1149.302124,2792.73877,763.352478,593.5427246,739.4127197,2038.075317
10-02-2021,895.2092896,1141.335327,2824.738281,749.0974731,596.8741455,731.7446899,2055.77832
11-02-2021,932.1186523,1137.945923,2818.320801,744.645813,612.6264038,737.022644,2081.067139
12-02-2021,925.7251587,1153.043579,2804.958496,749.1921997,596.9216919,747.2797852,2061.341797
15-02-2021,921.6444092,1152.911377,2760.169678,765.6021118,597.2548828,790.6985474,2037.110107
